nomZona;edad;sexe;nacionalitat;quantitat
BONAVISTA;54;H;ESPANYA;56
TARRAGONA;44;H;ESPANYA;359
SANT SALVADOR;28;H;ESPANYA;37
ARRABASSADA I SAVINOSA;57;H;ESPANYA;32
SANT PERE I SANT PAU;64;D;ESPANYA;110
MONTGONS (ELS);45;D;ESTRANGER;8
TARRAGONA;40;H;ESTRANGER;143
MONTGONS (ELS);52;H;ESTRANGER;8
TORREFORTA;65;H;ESTRANGER;30
TORREFORTA;66;D;ESTRANGER;24
TARRAGONA;45;H;ESTRANGER;162
MONTGONS (ELS);77;H;ESPANYA;9
CALA ROMANA;24;H;ESPANYA;4
SANT SALVADOR;39;D;ESPANYA;33
TAMARIT;22;H;ESPANYA;11
TORREFORTA;30;D;ESPANYA;87
SANT PERE I SANT PAU;22;D;ESPANYA;70
MONNARS;61;D;ESPANYA;16
SANT PERE I SANT PAU;30;D;ESPANYA;75
MONTGONS (ELS);81;D;ESPANYA;12
TORREFORTA;38;D;ESPANYA;56
TAMARIT;34;D;ESPANYA;8
SANT PERE I SANT PAU;59;D;ESTRANGER;13
SANT PERE I SANT PAU;64;H;ESPANYA;76
SANT SALVADOR;66;H;ESTRANGER;8
SANT SALVADOR;49;D;ESTRANGER;15
SANT SALVADOR;45;H;ESPANYA;53
CAMPSA;55;H;ESTRANGER;8
TORREFORTA;38;H;ESTRANGER;84
SANT SALVADOR;47;D;ESPANYA;51
TORREFORTA;94;H;ESPANYA;2
BONAVISTA;37;H;ESPANYA;42
ARRABASSADA I SAVINOSA;88;H;ESPANYA;2
FERRAN;52;D;ESPANYA;4
TORREFORTA;86;D;ESPANYA;38
CAMPSA;33;H;ESPANYA;4
TAMARIT;53;H;ESPANYA;17
TARRAGONA;70;H;ESTRANGER;25
CAMPSA;23;D;ESPANYA;3
SANT SALVADOR;70;D;ESPANYA;26
MONNARS;23;D;ESPANYA;13
SANT SALVADOR;45;D;ESTRANGER;24
BOSCOS DE TARRAGONA (ELS);23;H;ESPANYA;5
TAMARIT;29;H;ESPANYA;8
BOSCOS DE TARRAGONA (ELS);76;H;ESPANYA;6
TORREFORTA;73;H;ESTRANGER;14
TAMARIT;63;H;ESPANYA;14
TORREFORTA;21;D;ESPANYA;138
MONNARS;21;H;ESPANYA;7
MONTGONS (ELS);21;D;ESPANYA;12
SANT SALVADOR;67;D;ESTRANGER;6
MONNARS;45;D;ESPANYA;9
SANT SALVADOR;26;D;ESPANYA;30
CAMPSA;59;D;ESPANYA;8
TAMARIT;77;H;ESPANYA;4
BONAVISTA;61;H;ESTRANGER;9
TAMARIT;64;D;ESPANYA;11
CALA ROMANA;55;D;ESTRANGER;2
CALA ROMANA;74;D;ESPANYA;11
TORREFORTA;50;H;ESTRANGER;57
SANT PERE I SANT PAU;46;D;ESTRANGER;28
TORREFORTA;31;D;ESPANYA;76
MONNARS;22;D;ESPANYA;9
BONAVISTA;62;D;ESPANYA;46
CALA ROMANA;22;H;ESPANYA;3
BONAVISTA;41;H;ESPANYA;40
TORREFORTA;71;D;ESPANYA;105
SANT SALVADOR;61;D;ESTRANGER;9
TORREFORTA;80;H;ESPANYA;45
BOSCOS DE TARRAGONA (ELS);51;H;ESPANYA;9
TAMARIT;68;H;ESPANYA;14
TORREFORTA;20;D;ESPANYA;127
SANT SALVADOR;20;H;ESPANYA;40
BONAVISTA;29;H;ESTRANGER;29
SANT PERE I SANT PAU;66;H;ESTRANGER;5
SANT PERE I SANT PAU;36;H;ESTRANGER;31
ARRABASSADA I SAVINOSA;20;D;ESPANYA;28
MONTGONS (ELS);59;D;ESPANYA;12
SANT SALVADOR;20;D;ESPANYA;33
BONAVISTA;52;D;ESPANYA;36
BONAVISTA;41;H;ESTRANGER;22
SANT SALVADOR;79;H;ESPANYA;13
TAMARIT;20;H;ESPANYA;15
BONAVISTA;39;H;ESPANYA;35
SANT PERE I SANT PAU;26;H;ESTRANGER;22
SANT PERE I SANT PAU;90;D;ESPANYA;21
SANT SALVADOR;47;D;ESTRANGER;32
ARRABASSADA I SAVINOSA;42;H;ESPANYA;24
MONNARS;35;H;ESPANYA;4
BONAVISTA;47;H;ESTRANGER;29
ARRABASSADA I SAVINOSA;67;D;ESPANYA;20
ARRABASSADA I SAVINOSA;90;D;ESPANYA;5
MONNARS;71;H;ESPANYA;13
SANT SALVADOR;50;H;ESTRANGER;26
TAMARIT;77;D;ESPANYA;6
BOSCOS DE TARRAGONA (ELS);67;D;ESPANYA;10
SANT PERE I SANT PAU;82;H;ESPANYA;29
FERRAN;81;H;ESPANYA;1
MONTGONS (ELS);75;D;ESTRANGER;1
OLIVA (L`);49;H;ESPANYA;1
SANT PERE I SANT PAU;34;H;ESPANYA;68
SANT PERE I SANT PAU;58;H;ESTRANGER;16
MONNARS;48;H;ESPANYA;23
TARRAGONA;39;D;ESTRANGER;183
MONNARS;50;D;ESPANYA;12
SANT PERE I SANT PAU;73;H;ESTRANGER;2
CALA ROMANA;50;H;ESPANYA;6
SANT PERE I SANT PAU;56;D;ESTRANGER;15
SANT PERE I SANT PAU;40;D;ESTRANGER;29
TORREFORTA;35;H;ESTRANGER;81
BONAVISTA;48;D;ESTRANGER;19
ARRABASSADA I SAVINOSA;46;D;ESTRANGER;8
TORREFORTA;71;D;ESTRANGER;15
BONAVISTA;74;D;ESTRANGER;4
CAMPSA;57;D;ESTRANGER;3
SANT PERE I SANT PAU;86;H;ESPANYA;14
TORREFORTA;34;H;ESTRANGER;86
SANT SALVADOR;75;H;ESPANYA;15
BOSCOS DE TARRAGONA (ELS);90;D;ESPANYA;3
CALA ROMANA;21;D;ESTRANGER;2
TORREFORTA;27;H;ESTRANGER;67
SANT PERE I SANT PAU;70;H;ESTRANGER;3
TORREFORTA;41;H;ESTRANGER;96
TORREFORTA;27;D;ESTRANGER;49
CAMPSA;17;D;ESPANYA;5
TARRAGONA;28;D;ESTRANGER;177
MONNARS;52;H;ESPANYA;9
SANT SALVADOR;36;H;ESTRANGER;23
ARRABASSADA I SAVINOSA;16;D;ESPANYA;38
CAMPSA;55;D;ESPANYA;6
OLIVA (L`);37;D;ESPANYA;1
BONAVISTA;64;H;ESTRANGER;7
MONTGONS (ELS);17;H;ESPANYA;16
SANT SALVADOR;46;H;ESTRANGER;29
TORREFORTA;84;D;ESPANYA;56
MONTGONS (ELS);44;D;ESTRANGER;4
BONAVISTA;16;D;ESPANYA;45
MONNARS;75;D;ESTRANGER;1
MONTGONS (ELS);28;H;ESPANYA;8
ARRABASSADA I SAVINOSA;39;D;ESPANYA;26
TAMARIT;64;D;ESTRANGER;3
TAMARIT;44;H;ESPANYA;19
MONTGONS (ELS);58;H;ESTRANGER;3
BOSCOS DE TARRAGONA (ELS);48;H;ESPANYA;9
ARRABASSADA I SAVINOSA;47;H;ESTRANGER;1
BOSCOS DE TARRAGONA (ELS);46;D;ESPANYA;11
MONTGONS (ELS);49;H;ESTRANGER;10
MONTGONS (ELS);62;D;ESTRANGER;2
ARRABASSADA I SAVINOSA;85;D;ESPANYA;2
CALA ROMANA;49;D;ESPANYA;7
TORREFORTA;82;H;ESPANYA;49
TAMARIT;47;H;ESPANYA;12
TORREFORTA;89;H;ESPANYA;16
BONAVISTA;37;D;ESPANYA;35
TORREFORTA;15;D;ESPANYA;129
SANT SALVADOR;68;H;ESTRANGER;4
SANT SALVADOR;15;H;ESPANYA;46
MONTGONS (ELS);16;D;ESPANYA;16
TARRAGONA;16;D;ESTRANGER;87
CALA ROMANA;64;H;ESPANYA;5
SANT SALVADOR;38;D;ESTRANGER;15
SANT PERE I SANT PAU;31;H;ESTRANGER;34
CALA ROMANA;16;H;ESPANYA;7
CAMPSA;36;D;ESTRANGER;10
TAMARIT;43;D;ESTRANGER;1
CAMPSA;16;H;ESPANYA;10
TORREFORTA;81;H;ESPANYA;49
SANT SALVADOR;79;D;ESTRANGER;1
MONTGONS (ELS);82;H;ESPANYA;2
PINEDES (LES);58;D;ESTRANGER;1
MONNARS;17;D;ESPANYA;9
SANT SALVADOR;31;H;ESTRANGER;28
SANT PERE I SANT PAU;86;D;ESPANYA;27
BONAVISTA;14;H;ESPANYA;55
TARRAGONA;14;H;ESPANYA;240
BOSCOS DE TARRAGONA (ELS);14;H;ESPANYA;5
TAMARIT;14;D;ESPANYA;10
SANT SALVADOR;14;H;ESPANYA;46
MONTGONS (ELS);83;D;ESTRANGER;1
BONAVISTA;74;H;ESPANYA;21
SANT SALVADOR;38;H;ESPANYA;23
ARRABASSADA I SAVINOSA;14;D;ESPANYA;33
CAMPSA;43;D;ESTRANGER;12
CALA ROMANA;51;H;ESPANYA;4
BONAVISTA;27;H;ESTRANGER;41
SANT SALVADOR;20;H;ESTRANGER;20
CAMPSA;53;D;ESTRANGER;7
MONTGONS (ELS);15;H;ESTRANGER;3
TARRAGONA;74;D;ESTRANGER;30
SANT PERE I SANT PAU;13;D;ESPANYA;68
TARRAGONA;13;D;ESPANYA;231
BONAVISTA;93;D;ESPANYA;8
SANT PERE I SANT PAU;35;H;ESTRANGER;35
CALA ROMANA;82;H;ESPANYA;2
BONAVISTA;13;D;ESTRANGER;18
MONNARS;47;H;ESTRANGER;5
CAMPSA;46;D;ESPANYA;8
CAMPSA;14;H;ESPANYA;5
SANT SALVADOR;39;D;ESTRANGER;25
MONTGONS (ELS);14;D;ESTRANGER;2
TORREFORTA;12;D;ESTRANGER;30
BONAVISTA;12;D;ESPANYA;43
ARRABASSADA I SAVINOSA;12;D;ESPANYA;36
SANT PERE I SANT PAU;68;D;ESTRANGER;11
TORREFORTA;12;D;ESPANYA;107
TAMARIT;37;D;ESPANYA;7
BONAVISTA;13;H;ESTRANGER;24
TARRAGONA;97;H;ESTRANGER;1
CAMPSA;47;D;ESPANYA;7
FERRAN;34;D;ESPANYA;2
TARRAGONA;84;D;ESTRANGER;11
BOSCOS DE TARRAGONA (ELS);28;H;ESPANYA;8
SANT PERE I SANT PAU;11;H;ESPANYA;82
TAMARIT;40;D;ESPANYA;9
MONNARS;34;H;ESTRANGER;2
MONTGONS (ELS);60;D;ESPANYA;13
TORREFORTA;11;D;ESTRANGER;41
CALA ROMANA;25;H;ESPANYA;2
TAMARIT;46;D;ESTRANGER;3
BONAVISTA;22;H;ESTRANGER;26
CALA ROMANA;70;H;ESPANYA;6
BONAVISTA;56;D;ESTRANGER;11
TORREFORTA;12;H;ESTRANGER;28
CALA ROMANA;12;H;ESPANYA;3
TARRAGONA;92;D;ESTRANGER;2
ARRABASSADA I SAVINOSA;10;H;ESPANYA;19
TAMARIT;10;D;ESPANYA;9
BONAVISTA;10;H;ESPANYA;40
TARRAGONA;10;D;ESTRANGER;78
BOSCOS DE TARRAGONA (ELS);61;D;ESPANYA;8
TARRAGONA;10;H;ESTRANGER;76
OLIVA (L`);48;H;ESPANYA;3
OLIVA (L`);46;D;ESTRANGER;1
BOSCOS DE TARRAGONA (ELS);23;D;ESPANYA;3
SANT SALVADOR;10;H;ESTRANGER;20
CAMPSA;44;H;ESPANYA;4
CAMPSA;27;H;ESTRANGER;7
MONTGONS (ELS);56;H;ESTRANGER;8
BOSCOS DE TARRAGONA (ELS);53;H;ESPANYA;8
MONNARS;73;H;ESPANYA;18
BONAVISTA;33;D;ESTRANGER;29
MONTGONS (ELS);13;H;ESTRANGER;8
ARRABASSADA I SAVINOSA;52;D;ESTRANGER;2
SANT SALVADOR;9;D;ESTRANGER;10
SANT PERE I SANT PAU;9;H;ESPANYA;68
TARRAGONA;9;H;ESPANYA;229
MONNARS;9;H;ESPANYA;14
ARRABASSADA I SAVINOSA;9;D;ESPANYA;31
CALA ROMANA;46;D;ESTRANGER;1
TAMARIT;72;D;ESPANYA;7
MONTGONS (ELS);10;H;ESTRANGER;4
BONAVISTA;12;D;ESTRANGER;15
OLIVA (L`);12;D;ESPANYA;1
TORREFORTA;8;H;ESPANYA;98
SANT SALVADOR;8;H;ESPANYA;34
CALA ROMANA;43;D;ESTRANGER;2
TARRAGONA;76;H;ESTRANGER;15
MONTGONS (ELS);28;D;ESTRANGER;7
BOSCOS DE TARRAGONA (ELS);65;H;ESPANYA;7
BOSCOS DE TARRAGONA (ELS);52;D;ESPANYA;5
SANT SALVADOR;74;D;ESPANYA;31
TAMARIT;55;H;ESTRANGER;2
ARRABASSADA I SAVINOSA;40;H;ESTRANGER;7
SANT SALVADOR;7;D;ESPANYA;24
TORREFORTA;7;D;ESPANYA;91
MONNARS;7;H;ESPANYA;5
TORREFORTA;7;D;ESTRANGER;29
SANT SALVADOR;9;H;ESTRANGER;17
BOSCOS DE TARRAGONA (ELS);77;H;ESPANYA;4
CALA ROMANA;9;H;ESPANYA;2
ARRABASSADA I SAVINOSA;78;H;ESPANYA;6
TAMARIT;6;D;ESPANYA;6
MONNARS;6;H;ESPANYA;10
BONAVISTA;6;D;ESTRANGER;12
CAMPSA;35;H;ESPANYA;5
ARRABASSADA I SAVINOSA;26;D;ESPANYA;10
MONNARS;7;D;ESPANYA;9
MONNARS;37;D;ESTRANGER;3
ARRABASSADA I SAVINOSA;5;D;ESPANYA;13
BONAVISTA;89;D;ESPANYA;17
BONAVISTA;5;H;ESPANYA;37
SANT PERE I SANT PAU;6;H;ESTRANGER;15
BOSCOS DE TARRAGONA (ELS);55;D;ESTRANGER;1
SANT SALVADOR;89;D;ESTRANGER;2
MONTGONS (ELS);5;D;ESPANYA;17
BONAVISTA;26;D;ESTRANGER;13
OLIVA (L`);53;H;ESPANYA;2
ARRABASSADA I SAVINOSA;87;H;ESTRANGER;1
ARRABASSADA I SAVINOSA;33;H;ESTRANGER;8
TAMARIT;35;H;ESTRANGER;2
TAMARIT;76;H;ESTRANGER;1
TAMARIT;75;D;ESTRANGER;2
TAMARIT;42;H;ESTRANGER;5
TAMARIT;36;D;ESTRANGER;2
MONTGONS (ELS);67;H;ESTRANGER;4
SANT PERE I SANT PAU;3;D;ESPANYA;48
TARRAGONA;4;H;ESTRANGER;37
ARRABASSADA I SAVINOSA;4;D;ESPANYA;23
TAMARIT;33;D;ESPANYA;4
ARRABASSADA I SAVINOSA;41;D;ESTRANGER;11
CALA ROMANA;3;H;ESPANYA;5
CAMPSA;3;D;ESPANYA;9
FERRAN;56;H;ESPANYA;4
MONTGONS (ELS);6;D;ESTRANGER;3
MONNARS;56;D;ESTRANGER;3
CAMPSA;32;D;ESPANYA;6
CALA ROMANA;88;D;ESTRANGER;1
TORREFORTA;4;H;ESTRANGER;29
BONAVISTA;94;D;ESPANYA;5
CAMPSA;28;H;ESTRANGER;3
BOSCOS DE TARRAGONA (ELS);37;H;ESPANYA;9
MONNARS;83;H;ESTRANGER;2
TARRAGONA;18;H;ESTRANGER;98
MONNARS;45;D;ESTRANGER;3
TAMARIT;15;D;ESTRANGER;3
CAMPSA;26;H;ESPANYA;3
MONTGONS (ELS);80;H;ESPANYA;3
CALA ROMANA;75;H;ESPANYA;2
CALA ROMANA;30;D;ESPANYA;2
MONNARS;91;D;ESPANYA;4
MONTGONS (ELS);29;D;ESPANYA;11
CALA ROMANA;70;D;ESPANYA;6
ARRABASSADA I SAVINOSA;90;H;ESPANYA;3
MONTGONS (ELS);67;D;ESPANYA;5
SANT PERE I SANT PAU;95;H;ESPANYA;4
SANT SALVADOR;85;D;ESPANYA;13
FERRAN;25;H;ESPANYA;1
BOSCOS DE TARRAGONA (ELS);25;H;ESPANYA;7
MONNARS;75;D;ESPANYA;6
CALA ROMANA;33;H;ESPANYA;4
CALA ROMANA;79;H;ESPANYA;2
MONTGONS (ELS);65;D;ESPANYA;10
MONTGONS (ELS);95;H;ESPANYA;1
MONTGONS (ELS);89;H;ESPANYA;3
MONTGONS (ELS);90;H;ESPANYA;1
CAMPSA;81;D;ESPANYA;4
CAMPSA;77;D;ESPANYA;10
MONTGONS (ELS);53;H;ESTRANGER;8
CAMPSA;83;H;ESPANYA;1
SANT PERE I SANT PAU;98;D;ESPANYA;1
SANT PERE I SANT PAU;97;D;ESPANYA;2
OLIVA (L`);68;H;ESPANYA;1
CALA ROMANA;55;H;ESPANYA;3
ARRABASSADA I SAVINOSA;96;D;ESPANYA;2
CALA ROMANA;63;D;ESPANYA;4
ARRABASSADA I SAVINOSA;100;D;ESPANYA;1
CALA ROMANA;89;H;ESPANYA;1
FERRAN;49;D;ESPANYA;3
MONNARS;81;H;ESPANYA;10
BONAVISTA;97;H;ESPANYA;1
MONNARS;98;D;ESPANYA;1
MONNARS;83;D;ESPANYA;3
MONNARS;86;H;ESPANYA;2
MONNARS;93;H;ESPANYA;1
FERRAN;92;D;ESPANYA;1
CAMPSA;34;H;ESPANYA;4
FERRAN;66;H;ESPANYA;1
BONAVISTA;90;H;ESPANYA;7
BONAVISTA;73;D;ESPANYA;19
CAMPSA;59;D;ESTRANGER;4
MONNARS;42;H;ESTRANGER;4
CALA ROMANA;54;H;ESTRANGER;3
CAMPSA;88;D;ESTRANGER;1
TARRAGONA;2;D;ESPANYA;181
MONNARS;67;D;ESTRANGER;2
MONTGONS (ELS);36;H;ESTRANGER;9
BONAVISTA;2;H;ESPANYA;41
BOSCOS DE TARRAGONA (ELS);33;H;ESPANYA;4
SANT PERE I SANT PAU;19;D;ESTRANGER;23
SANT SALVADOR;3;H;ESTRANGER;9
FERRAN;7;H;ESPANYA;1
ARRABASSADA I SAVINOSA;56;H;ESTRANGER;3
CAMPSA;20;D;ESPANYA;5
TARRAGONA;2;D;ESTRANGER;62
MONNARS;70;D;ESTRANGER;1
MONTGONS (ELS);2;D;ESPANYA;7
BOSCOS DE TARRAGONA (ELS);19;D;ESTRANGER;1
BONAVISTA;75;D;ESTRANGER;5
BOSCOS DE TARRAGONA (ELS);31;H;ESPANYA;3
SANT SALVADOR;17;H;ESTRANGER;18
BONAVISTA;92;H;ESTRANGER;1
CAMPSA;12;H;ESTRANGER;3
MONNARS;40;H;ESTRANGER;2
BONAVISTA;2;D;ESTRANGER;12
TORREFORTA;2;H;ESTRANGER;31
ARRABASSADA I SAVINOSA;10;H;ESTRANGER;2
MONNARS;10;D;ESTRANGER;2
BONAVISTA;87;D;ESTRANGER;1
MONTGONS (ELS);68;H;ESTRANGER;2
ARRABASSADA I SAVINOSA;27;D;ESTRANGER;3
TARRAGONA;1;H;ESPANYA;185
CALA ROMANA;9;D;ESTRANGER;1
BOSCOS DE TARRAGONA (ELS);48;H;ESTRANGER;2
ARRABASSADA I SAVINOSA;4;D;ESTRANGER;5
SANT PERE I SANT PAU;1;H;ESTRANGER;11
BONAVISTA;1;H;ESPANYA;28
CALA ROMANA;68;D;ESTRANGER;2
BOSCOS DE TARRAGONA (ELS);39;H;ESTRANGER;1
TAMARIT;41;D;ESTRANGER;1
ARRABASSADA I SAVINOSA;19;D;ESTRANGER;4
PINEDES (LES);55;H;ESPANYA;1
CAMPSA;1;H;ESPANYA;2
BOSCOS DE TARRAGONA (ELS);19;H;ESPANYA;9
ARRABASSADA I SAVINOSA;1;D;ESTRANGER;3
CAMPSA;2;D;ESTRANGER;4
TAMARIT;21;H;ESTRANGER;1
TAMARIT;14;D;ESTRANGER;2
CALA ROMANA;22;D;ESTRANGER;1
MONTGONS (ELS);22;D;ESTRANGER;2
ARRABASSADA I SAVINOSA;50;D;ESTRANGER;2
BOSCOS DE TARRAGONA (ELS);45;H;ESPANYA;2
MONTGONS (ELS);31;H;ESTRANGER;4
CALA ROMANA;9;H;ESTRANGER;1
TAMARIT;17;H;ESPANYA;7
CAMPSA;1;H;ESTRANGER;4
CALA ROMANA;1;H;ESPANYA;3
CALA ROMANA;50;D;ESTRANGER;1
TARRAGONA;94;D;ESTRANGER;1
BONAVISTA;0;D;ESTRANGER;15
MONNARS;86;D;ESTRANGER;2
MONTGONS (ELS);18;D;ESTRANGER;1
CAMPSA;29;H;ESTRANGER;5
CAMPSA;2;H;ESTRANGER;2
PINEDES (LES);13;H;ESPANYA;1
MONNARS;79;D;ESTRANGER;1
ARRABASSADA I SAVINOSA;74;D;ESTRANGER;2
MONTGONS (ELS);0;D;ESPANYA;9
BOSCOS DE TARRAGONA (ELS);45;D;ESTRANGER;1
MONNARS;62;D;ESTRANGER;1
TARRAGONA;95;D;ESTRANGER;1
SANT PERE I SANT PAU;86;H;ESTRANGER;1
ARRABASSADA I SAVINOSA;72;H;ESTRANGER;1
MONNARS;37;H;ESTRANGER;1
FERRAN;1;D;ESPANYA;1
FERRAN;34;H;ESPANYA;1
PINEDES (LES);24;D;ESTRANGER;1
CALA ROMANA;15;H;ESTRANGER;1
CALA ROMANA;23;D;ESTRANGER;1
BONAVISTA;77;H;ESTRANGER;1
TORREFORTA;93;H;ESTRANGER;1
MONNARS;38;H;ESTRANGER;1
MONNARS;64;H;ESPANYA;18
SANT PERE I SANT PAU;49;D;ESPANYA;135
TORREFORTA;75;H;ESPANYA;67
SANT PERE I SANT PAU;80;D;ESPANYA;59
TARRAGONA;54;H;ESPANYA;358
TARRAGONA;58;D;ESTRANGER;79
TARRAGONA;47;D;ESPANYA;428
SANT SALVADOR;60;H;ESPANYA;44
TARRAGONA;43;H;ESTRANGER;169
TARRAGONA;73;H;ESTRANGER;28
ARRABASSADA I SAVINOSA;54;H;ESPANYA;45
TARRAGONA;55;D;ESPANYA;450
TORREFORTA;55;D;ESTRANGER;44
TORREFORTA;47;D;ESPANYA;129
TORREFORTA;55;H;ESPANYA;132
TARRAGONA;65;D;ESTRANGER;54
TARRAGONA;52;H;ESPANYA;421
TARRAGONA;44;D;ESPANYA;374
MONTGONS (ELS);46;D;ESPANYA;19
SANT PERE I SANT PAU;61;H;ESPANYA;83
TARRAGONA;87;D;ESPANYA;202
TAMARIT;55;H;ESPANYA;23
TORREFORTA;24;H;ESPANYA;88
TAMARIT;46;D;ESPANYA;20
TARRAGONA;69;H;ESPANYA;309
TORREFORTA;59;D;ESPANYA;125
TORREFORTA;90;D;ESPANYA;24
CAMPSA;58;D;ESTRANGER;2
BONAVISTA;67;H;ESPANYA;44
TARRAGONA;89;D;ESPANYA;195
MONTGONS (ELS);24;H;ESPANYA;15
TORREFORTA;75;D;ESPANYA;99
TAMARIT;35;H;ESPANYA;4
TORREFORTA;51;D;ESPANYA;134
TARRAGONA;91;H;ESPANYA;65
CAMPSA;57;D;ESPANYA;12
SANT SALVADOR;89;H;ESPANYA;7
SANT SALVADOR;81;D;ESPANYA;15
BONAVISTA;50;H;ESPANYA;52
TARRAGONA;41;D;ESPANYA;311
SANT PERE I SANT PAU;48;H;ESPANYA;137
TORREFORTA;98;D;ESPANYA;6
TARRAGONA;74;D;ESPANYA;350
TORREFORTA;88;D;ESPANYA;34
TORREFORTA;58;H;ESPANYA;131
TARRAGONA;32;H;ESPANYA;294
ARRABASSADA I SAVINOSA;53;H;ESPANYA;44
TARRAGONA;96;D;ESPANYA;58
SANT SALVADOR;41;D;ESPANYA;34
CALA ROMANA;68;D;ESPANYA;8
BONAVISTA;40;D;ESPANYA;31
TORREFORTA;73;D;ESPANYA;85
ARRABASSADA I SAVINOSA;56;H;ESPANYA;32
ARRABASSADA I SAVINOSA;58;D;ESPANYA;27
TARRAGONA;26;D;ESPANYA;296
SANT SALVADOR;24;H;ESPANYA;29
ARRABASSADA I SAVINOSA;24;H;ESPANYA;16
BOSCOS DE TARRAGONA (ELS);24;D;ESPANYA;5
ARRABASSADA I SAVINOSA;24;D;ESPANYA;19
MONNARS;24;D;ESPANYA;8
SANT PERE I SANT PAU;38;D;ESPANYA;69
CALA ROMANA;24;D;ESPANYA;5
TARRAGONA;31;H;ESPANYA;296
TARRAGONA;94;D;ESPANYA;84
TORREFORTA;79;D;ESPANYA;87
TORREFORTA;69;D;ESPANYA;127
BONAVISTA;40;H;ESPANYA;41
BONAVISTA;56;D;ESPANYA;54
ARRABASSADA I SAVINOSA;63;D;ESPANYA;23
TORREFORTA;59;H;ESPANYA;128
SANT PERE I SANT PAU;23;H;ESPANYA;84
TARRAGONA;34;H;ESPANYA;241
TORREFORTA;64;D;ESPANYA;127
MONNARS;91;D;ESTRANGER;1
MONTGONS (ELS);23;H;ESPANYA;11
SANT SALVADOR;23;H;ESPANYA;34
CAMPSA;59;H;ESPANYA;8
BONAVISTA;53;D;ESPANYA;58
SANT PERE I SANT PAU;39;H;ESPANYA;79
SANT PERE I SANT PAU;32;D;ESPANYA;68
BOSCOS DE TARRAGONA (ELS);63;H;ESPANYA;10
MONTGONS (ELS);51;D;ESPANYA;13
TORREFORTA;73;H;ESPANYA;83
SANT PERE I SANT PAU;48;D;ESPANYA;133
BONAVISTA;54;D;ESPANYA;36
SANT PERE I SANT PAU;75;D;ESPANYA;60
TAMARIT;44;D;ESPANYA;13
MONTGONS (ELS);47;D;ESPANYA;19
TARRAGONA;51;H;ESTRANGER;93
TARRAGONA;27;D;ESPANYA;295
SANT SALVADOR;58;D;ESPANYA;45
TORREFORTA;44;D;ESPANYA;122
BOSCOS DE TARRAGONA (ELS);56;D;ESPANYA;9
SANT PERE I SANT PAU;51;D;ESTRANGER;18
MONTGONS (ELS);59;H;ESPANYA;14
MONTGONS (ELS);58;H;ESPANYA;17
TORREFORTA;47;H;ESTRANGER;72
TARRAGONA;31;D;ESPANYA;309
TARRAGONA;22;D;ESPANYA;308
TAMARIT;23;H;ESPANYA;16
TORREFORTA;42;D;ESPANYA;85
TORREFORTA;22;D;ESPANYA;108
MONTGONS (ELS);54;H;ESPANYA;16
ARRABASSADA I SAVINOSA;51;H;ESPANYA;45
SANT SALVADOR;33;D;ESPANYA;23
BOSCOS DE TARRAGONA (ELS);62;H;ESPANYA;7
BOSCOS DE TARRAGONA (ELS);26;D;ESPANYA;11
MONNARS;23;H;ESPANYA;14
BOSCOS DE TARRAGONA (ELS);58;H;ESPANYA;5
BONAVISTA;58;D;ESTRANGER;12
TORREFORTA;41;D;ESPANYA;54
MONTGONS (ELS);64;D;ESTRANGER;2
TARRAGONA;93;D;ESTRANGER;4
BOSCOS DE TARRAGONA (ELS);82;H;ESPANYA;5
SANT SALVADOR;82;D;ESPANYA;18
ARRABASSADA I SAVINOSA;48;D;ESPANYA;44
CAMPSA;63;D;ESPANYA;5
TARRAGONA;41;H;ESTRANGER;167
CALA ROMANA;58;H;ESPANYA;4
CALA ROMANA;25;D;ESPANYA;4
MONTGONS (ELS);47;H;ESPANYA;20
TORREFORTA;64;H;ESTRANGER;25
SANT SALVADOR;55;D;ESPANYA;46
CALA ROMANA;46;H;ESPANYA;6
TORREFORTA;79;H;ESPANYA;49
SANT SALVADOR;84;D;ESPANYA;15
SANT PERE I SANT PAU;25;H;ESTRANGER;26
BONAVISTA;65;H;ESTRANGER;6
BONAVISTA;48;H;ESPANYA;54
TORREFORTA;27;D;ESPANYA;89
TAMARIT;69;D;ESPANYA;13
MONTGONS (ELS);39;D;ESPANYA;15
CAMPSA;23;H;ESPANYA;8
OLIVA (L`);45;H;ESPANYA;1
SANT SALVADOR;71;H;ESPANYA;25
MONNARS;67;D;ESPANYA;17
SANT PERE I SANT PAU;83;H;ESPANYA;30
BOSCOS DE TARRAGONA (ELS);30;D;ESPANYA;3
TARRAGONA;41;D;ESTRANGER;155
TAMARIT;38;H;ESPANYA;4
CALA ROMANA;23;H;ESPANYA;2
TORREFORTA;66;D;ESPANYA;115
CAMPSA;56;H;ESTRANGER;10
BOSCOS DE TARRAGONA (ELS);59;D;ESPANYA;5
MONNARS;53;H;ESPANYA;19
MONNARS;21;D;ESPANYA;13
SANT PERE I SANT PAU;21;D;ESPANYA;75
SANT PERE I SANT PAU;60;D;ESTRANGER;7
CAMPSA;21;D;ESPANYA;4
TORREFORTA;23;D;ESTRANGER;31
CAMPSA;66;D;ESPANYA;6
TORREFORTA;68;D;ESTRANGER;15
TARRAGONA;50;H;ESTRANGER;114
TORREFORTA;43;H;ESPANYA;100
SANT SALVADOR;21;D;ESPANYA;33
