nomZona;edad;sexe;nacionalitat;quantitat
CALA ROMANA;45;D;ESPANYA;8
SANT SALVADOR;84;H;ESPANYA;5
TARRAGONA;26;H;ESTRANGER;176
SANT PERE I SANT PAU;35;H;ESPANYA;54
BONAVISTA;57;D;ESPANYA;60
TORREFORTA;42;D;ESTRANGER;68
TAMARIT;87;D;ESPANYA;4
BONAVISTA;52;H;ESPANYA;53
SANT PERE I SANT PAU;43;H;ESTRANGER;29
TAMARIT;43;H;ESPANYA;5
SANT SALVADOR;62;D;ESTRANGER;8
SANT PERE I SANT PAU;67;D;ESTRANGER;7
TORREFORTA;20;H;ESPANYA;144
TARRAGONA;44;H;ESTRANGER;145
SANT PERE I SANT PAU;20;D;ESPANYA;76
TORREFORTA;49;H;ESTRANGER;72
MONTGONS (ELS);61;H;ESPANYA;14
TORREFORTA;25;H;ESTRANGER;65
MONTGONS (ELS);45;H;ESTRANGER;9
TARRAGONA;35;H;ESTRANGER;179
TAMARIT;65;D;ESPANYA;9
TORREFORTA;26;H;ESTRANGER;85
SANT SALVADOR;42;H;ESTRANGER;27
TORREFORTA;40;H;ESPANYA;81
SANT SALVADOR;76;H;ESPANYA;14
ARRABASSADA I SAVINOSA;53;H;ESTRANGER;1
SANT PERE I SANT PAU;58;D;ESTRANGER;11
SANT SALVADOR;41;H;ESTRANGER;30
TARRAGONA;50;D;ESTRANGER;128
MONNARS;68;D;ESPANYA;12
SANT SALVADOR;54;H;ESTRANGER;17
CALA ROMANA;65;D;ESPANYA;8
BONAVISTA;68;H;ESPANYA;35
CAMPSA;72;D;ESPANYA;12
TORREFORTA;29;H;ESPANYA;68
TAMARIT;68;D;ESPANYA;11
SANT SALVADOR;63;D;ESTRANGER;6
TARRAGONA;33;D;ESTRANGER;200
MONNARS;76;D;ESPANYA;13
MONTGONS (ELS);18;D;ESPANYA;24
TAMARIT;19;H;ESPANYA;14
TARRAGONA;37;H;ESTRANGER;179
TARRAGONA;18;H;ESPANYA;318
SANT PERE I SANT PAU;34;H;ESTRANGER;26
CAMPSA;38;D;ESTRANGER;12
MONTGONS (ELS);24;H;ESTRANGER;9
TORREFORTA;38;D;ESTRANGER;70
BOSCOS DE TARRAGONA (ELS);65;D;ESPANYA;5
SANT SALVADOR;60;D;ESTRANGER;10
TAMARIT;64;H;ESPANYA;10
TARRAGONA;16;D;ESPANYA;267
SANT SALVADOR;16;D;ESPANYA;41
TAMARIT;76;D;ESPANYA;4
SANT PERE I SANT PAU;17;D;ESPANYA;76
BONAVISTA;17;D;ESPANYA;48
SANT PERE I SANT PAU;24;H;ESTRANGER;26
BONAVISTA;30;H;ESTRANGER;43
MONTGONS (ELS);17;D;ESPANYA;15
BONAVISTA;64;D;ESTRANGER;10
SANT PERE I SANT PAU;31;D;ESTRANGER;36
SANT PERE I SANT PAU;72;H;ESTRANGER;4
TARRAGONA;80;H;ESTRANGER;8
CAMPSA;54;D;ESPANYA;13
FERRAN;51;H;ESPANYA;1
MONTGONS (ELS);26;H;ESPANYA;15
SANT SALVADOR;19;D;ESPANYA;38
TARRAGONA;20;D;ESTRANGER;77
PINEDES (LES);34;D;ESPANYA;1
CAMPSA;49;D;ESTRANGER;7
MONTGONS (ELS);57;H;ESTRANGER;5
BONAVISTA;24;D;ESTRANGER;19
MONNARS;69;D;ESPANYA;23
CAMPSA;16;H;ESTRANGER;17
BONAVISTA;17;H;ESTRANGER;17
SANT PERE I SANT PAU;15;D;ESTRANGER;14
BONAVISTA;60;H;ESTRANGER;7
SANT SALVADOR;70;H;ESTRANGER;2
