comunitatsAut;provincia;municipi;tipus;periode;total;año;mes
09 Cataluña;43 Tarragona;43905 Salou;Viviendas turísticas;2021M08;2.405;2021;08
09 Cataluña;43 Tarragona;43905 Salou;Viviendas turísticas;2021M02;2.081;2021;02
09 Cataluña;43 Tarragona;43905 Salou;Viviendas turísticas;2020M08;2.611;2020;08
09 Cataluña;43 Tarragona;43905 Salou;Plazas;2024M11;11.782;2024;11
09 Cataluña;43 Tarragona;43905 Salou;Plazas;2024M08;14.361;2024;08
09 Cataluña;43 Tarragona;43905 Salou;Plazas;2024M02;12.889;2024;02
09 Cataluña;43 Tarragona;43905 Salou;Plazas;2023M08;13.842;2023;08
09 Cataluña;43 Tarragona;43905 Salou;Plazas;2023M02;10.431;2023;02
09 Cataluña;43 Tarragona;43905 Salou;Plazas;2022M08;12.344;2022;08
09 Cataluña;43 Tarragona;43905 Salou;Plazas;2022M02;10.715;2022;02
09 Cataluña;43 Tarragona;43905 Salou;Plazas;2021M08;13.105;2021;08
09 Cataluña;43 Tarragona;43905 Salou;Plazas;2021M02;11.299;2021;02
09 Cataluña;43 Tarragona;43905 Salou;Plazas;2020M08;14.353;2020;08
09 Cataluña;43 Tarragona;43905 Salou;Plazas por vivienda turística;2024M11;5,37;2024;11
09 Cataluña;43 Tarragona;43905 Salou;Plazas por vivienda turística;2024M08;5,3;2024;08
09 Cataluña;43 Tarragona;43905 Salou;Plazas por vivienda turística;2024M02;5,35;2024;02
09 Cataluña;43 Tarragona;43905 Salou;Plazas por vivienda turística;2023M08;5,34;2023;08
09 Cataluña;43 Tarragona;43905 Salou;Plazas por vivienda turística;2023M02;5,41;2023;02
09 Cataluña;43 Tarragona;43905 Salou;Plazas por vivienda turística;2022M08;5,4;2022;08
09 Cataluña;43 Tarragona;43905 Salou;Plazas por vivienda turística;2022M02;5,47;2022;02
09 Cataluña;43 Tarragona;43905 Salou;Plazas por vivienda turística;2021M08;5,45;2021;08
09 Cataluña;43 Tarragona;43905 Salou;Plazas por vivienda turística;2021M02;5,43;2021;02
09 Cataluña;43 Tarragona;43905 Salou;Plazas por vivienda turística;2020M08;5,5;2020;08
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Viviendas turísticas;2024M11;113;2024;11
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Viviendas turísticas;2024M08;120;2024;08
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Viviendas turísticas;2024M02;108;2024;02
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Viviendas turísticas;2023M08;115;2023;08
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Viviendas turísticas;2023M02;91;2023;02
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Viviendas turísticas;2022M08;94;2022;08
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Viviendas turísticas;2022M02;80;2022;02
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Viviendas turísticas;2021M08;77;2021;08
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Viviendas turísticas;2021M02;68;2021;02
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Viviendas turísticas;2020M08;71;2020;08
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas;2024M11;695;2024;11
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas;2024M08;732;2024;08
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas;2024M02;651;2024;02
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas;2023M08;703;2023;08
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas;2023M02;564;2023;02
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas;2022M08;591;2022;08
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas;2022M02;505;2022;02
