latitu;long;tipus;places
41.1198161;1.2396211;Càrrega/descàrrega;1
40.7067997;0.5801695;Càrrega/descàrrega;1
41.1125105;1.2508445;Càrrega/descàrrega;5
41.1114824;1.2518576;Càrrega/descàrrega;2
41.1114408;1.2465833;Càrrega/descàrrega;2
41.1146295;1.2494212;Càrrega/descàrrega;7
41.1153139;1.2478727;Càrrega/descàrrega;1
41.1154475;1.2523564;Càrrega/descàrrega;1
41.114401;1.2430692;Càrrega/descàrrega;2
41.118189612097;1.2482591423812;Càrrega/descàrrega;3
41.1187867;1.2406258;Càrrega/descàrrega;3
41.1217029;1.2546937;Càrrega/descàrrega;1
41.117781836351;1.2514181323834;Càrrega/descàrrega;2
41.1126904;1.2438729;Càrrega/descàrrega;2
41.1143404;1.2504613;Càrrega/descàrrega;3
41.1224113;1.2524844;Càrrega/descàrrega;1
41.1148031;1.2422426;Càrrega/descàrrega;1
41.1169535;1.2211637;Càrrega/descàrrega;1
41.113479823271;1.2507176232788;Càrrega/descàrrega;2
41.1171114;1.2510845;Càrrega/descàrrega;3
41.1157659;1.2448636;Càrrega/descàrrega;3
41.1158252;1.2556797;Càrrega/descàrrega;1
41.1216978;1.2453291;Càrrega/descàrrega;1
41.121038894657;1.2487741312069;Càrrega/descàrrega;5
41.1219435;1.2530808;Càrrega/descàrrega;1
41.1146323;1.2475831;Càrrega/descàrrega;8
41.1153708;1.2434836;Càrrega/descàrrega;2
41.1184872;1.2177462;Càrrega/descàrrega;3
41.1229268;1.2140778;Càrrega/descàrrega;2
41.119958979908;1.2510862735053;Càrrega/descàrrega;4
41.117673533843;1.2470041128281;Càrrega/descàrrega;2
41.1238731;1.2135829;Càrrega/descàrrega;1
41.1157216;1.2441965;Càrrega/descàrrega;4
41.120927873339;1.2505347292998;Càrrega/descàrrega;2
41.1163108;1.2477467;Càrrega/descàrrega;14
41.1111242;1.2480361;Càrrega/descàrrega;3
41.1374738;1.2516482;Càrrega/descàrrega;1
41.1186273;1.2146931;Càrrega/descàrrega;1
41.1171287;1.2178842;Càrrega/descàrrega;1
41.1171159;1.2048316;Càrrega/descàrrega;1
41.1164782;1.2530433;Exclusives Discapacitats;1
41.1120896;1.2486992;Exclusives Discapacitats;1
41.1141152;1.2472561;Càrrega/descàrrega;3
41.1119944;1.2457216;Càrrega/descàrrega;2
41.115074;1.2496199;Càrrega/descàrrega;4
41.1198991;1.2444399;Càrrega/descàrrega;1
41.119331516597;1.2473602436778;Càrrega/descàrrega;4
41.1133696;1.247062;Càrrega/descàrrega;6
41.1154688;1.2498935;Càrrega/descàrrega;1
41.1102677;1.2507026;Càrrega/descàrrega;2
41.1130515;1.253391;Càrrega/descàrrega;2
41.1143377;1.2474501;Càrrega/descàrrega;1
41.1131876;1.2505786;Càrrega/descàrrega;3
41.1141643;1.2562261;Càrrega/descàrrega;1
41.1224974;1.2374277;Càrrega/descàrrega;1
41.1167997;1.2545111;Càrrega/descàrrega;1
41.1159902;1.2600306;Motocicletes;1
41.1184077;1.2427121;Càrrega/descàrrega;2
41.1221033;1.2739704;Càrrega/descàrrega;2
41.1110078;1.2515978;Exclusives Discapacitats;1
41.114876122107;1.1946238227539;Bicis/Patinets;4
41.1164166;1.2169095;Càrrega/descàrrega;2
41.1172305;1.2497538;Motocicletes;10
41.122981933434;1.2062097517151;Bicis/Patinets;8
41.121901052533;1.2037338638536;Bicis/Patinets;16
41.12229307641;1.2045486037746;Bicis/Patinets;16
41.120326798718;1.2070269682217;Bicis/Patinets;8
41.121106597801;1.2067152393949;Bicis/Patinets;8
41.120545694267;1.2070042292248;Bicis/Patinets;8
41.1180261;1.2380411;Bicis/Patinets;8
41.118600329915;1.2524967906269;Bicis/Patinets;20
41.137415817536;1.2962734534044;Bicis/Patinets;20
41.118868281696;1.2542085571376;Bicis/Patinets;20
41.1214263;1.2511815;Bicis/Patinets;20
41.1231237;1.2479799;Bicis/Patinets;20
41.1310576;1.2440523;Bicis/Patinets;20
41.1210559;1.2442491;Bicis/Patinets;20
41.116194191537;1.239945960579;Bicis/Patinets;20
41.122772324891;1.2434567798838;Bicis/Patinets;20
41.118742326599;1.2428295013721;Bicis/Patinets;20
41.15847566606;1.241129487566;Bicis/Patinets;4
41.116514;1.2574134;Bicis/Patinets;20
41.1105831;1.2471005;Bicis/Patinets;20
41.1141415;1.2491157;Bicis/Patinets;8
41.1157648;1.259451;Motocicletes;4
41.109068115033;1.2515006510843;Bicis/Patinets;20
41.118595488107;1.2611711063568;Bicis/Patinets;8
41.11784265018;1.2444633006592;Bicis/Patinets;20
41.117950942738;1.2446597345246;Bicis/Patinets;20
41.11954517203;1.2215478608544;Bicis/Patinets;20
41.119135896355;1.1924771718868;Bicis/Patinets;8
41.117040075533;1.2542882766837;Bicis/Patinets;8
41.116781059924;1.2559940124895;Bicis/Patinets;8
41.110346713717;1.2503910353042;Bicis/Patinets;10
41.110436794895;1.2499723929618;Bicis/Patinets;8
41.111563174455;1.2452601219401;Bicis/Patinets;8
41.118618606637;1.2450482323713;Bicis/Patinets;10
41.11161836383;1.2529914889463;Bicis/Patinets;8
41.114803059691;1.259788209393;Bicis/Patinets;20
41.115888960807;1.2499050465183;Bicis/Patinets;20
41.115825255229;1.2496345588448;Bicis/Patinets;8
41.136724191038;1.2506447363988;Bicis/Patinets;20
41.119102817518;1.2559006474881;Bicis/Patinets;20
41.118752165988;1.2733685096951;Bicis/Patinets;20
41.119693906574;1.2758780787326;Bicis/Patinets;20
41.115011196526;1.2626896310272;Bicis/Patinets;6
41.113805733203;1.2322356091531;Bicis/Patinets;20
41.139606164549;1.249588558433;Bicis/Patinets;20
41.1222393;1.2384668;Bicis/Patinets;20
41.12047;1.24197;Bicis/Patinets;20
41.1157099;1.2531748;Bicis/Patinets;20
41.115508106325;1.2525545748829;Bicis/Patinets;10
41.1179865;1.2483284;Bicis/Patinets;20
41.1149071;1.2546783;Bicis/Patinets;20
41.1141631;1.2562006;Bicis/Patinets;20
41.118248326065;1.210932194868;Bicis/Patinets;10
41.120440302034;1.21154082909;Bicis/Patinets;20
41.1159408;1.2558105;Bicis/Patinets;20
41.116700021354;1.2543233280334;Bicis/Patinets;10
41.116137698012;1.2421854738431;Bicis/Patinets;6
41.115233423908;1.2047563602865;Bicis/Patinets;10
41.119738235351;1.2251733090196;Bicis/Patinets;20
41.115038991989;1.200550194501;Bicis/Patinets;10
41.115426734851;1.2016243748565;Bicis/Patinets;10
41.11531394075;1.2088528526402;Bicis/Patinets;10
41.1195432;1.2471317;Bicis/Patinets;14
41.1156458;1.2590762;Bicis/Patinets;20
41.1176751;1.2381408;Bicis/Patinets;12
41.111839267236;1.2404454576721;Bicis/Patinets;20
41.1250816;1.2416722;Bicis/Patinets;20
41.121346568313;1.2708074875784;Bicis/Patinets;20
41.1243307;1.2163115;Bicis/Patinets;20
41.1245195;1.2162065;Bicis/Patinets;20
41.12043000198;1.2465671936153;Bicis/Patinets;20
41.1136023;1.2419244;Bicis/Patinets;20
41.139882339483;1.2600238510408;Bicis/Patinets;20
41.122844097038;1.2153804604114;Bicis/Patinets;20
41.1131328;1.2514835;Bicis/Patinets;18
41.1187323;1.2484157;Bicis/Patinets;10
41.127424036885;1.2344135313953;Bicis/Patinets;20
41.122071038231;1.2423041426603;Bicis/Patinets;14
41.1205941;1.2095308;Bicis/Patinets;20
41.122823331609;1.2080586186111;Bicis/Patinets;20
41.116160635601;1.2118402797623;Bicis/Patinets;20
41.116769914823;1.2173523873108;Bicis/Patinets;20
41.116996111725;1.2034560512039;Bicis/Patinets;20
41.119096812758;1.2507923630905;Bicis/Patinets;20
41.1242195;1.2550284;Bicis/Patinets;20
41.11862898249;1.2696006786621;Bicis/Patinets;20
41.1202909;1.2126203;Bicis/Patinets;20
41.1091696;1.2399455;Bicis/Patinets;20
41.1194598;1.2192937;Bicis/Patinets;20
41.1141152;1.2472561;Bicis/Patinets;20
41.1124673;1.2400661;Bicis/Patinets;10
41.1170067;1.1924672;Bicis/Patinets;20
41.1128122;1.2454928;Bicis/Patinets;20
41.138929268258;1.2578802306425;Bicis/Patinets;20
41.139474445838;1.2584276014847;Bicis/Patinets;20
