codi;nom;adreca;latitud;longitud
25602;Pl. Imperial Tàrraco;Pl. Imperial Tàrraco, 2 . Catalunya Caixa;41.1186445364;1.245482862
25574;Marenostrum;Passeig Marítim Rafael de Casanova;41.1182415436;1.2730747461
25143;Pere Martell;Pere Martell, 1;41.1182092132;1.2449625135
25025;Carrer Vint;Explanada Mercat / Llar de Jubilats;41.1177516667;1.19452
25076;Imperi Romà;Via de l'Imperi Romà;41.1175878591;1.2532053217
25597;Pere Martell;Pere Martell, 7-5;41.1173645743;1.2446390167
25121;Montblanc;Montblanc, 18-20;41.1171666667;1.2183966667
25570;Llobregat;Riu Llobregat, parroquia Sta. TEcla;41.1170770057;1.206574738
25016;Brugent;Riu Llobregat, ;41.1170732169;1.2051714957
25205;Prat de la Riba;Prat de la Riba, 29;41.1170104492;1.2463349104
25123;Montsant;Riu Montsant, 3-5;41.1169933333;1.21108
25075;Icomar;Front Bloc C-1;41.1169216667;1.22545
25457;Dues Hortes;Marina, 98;41.1168498041;1.1816310883
25596;Pere Martell;Pere Martell, 9-11;41.1167689131;1.2444061786
25165;Ramon y Cajal;Ramon y Cajal, 21;41.1167487692;1.2478310019
25623;Ramon y Cajal;Ramon y Cajal, 5;41.1167225001;1.2477597669
25622;Ramon y Cajal;Ramon y Cajal, 19;41.1167093713;1.2476116698
25598;Pilats;Passeig de St. Antoni, front 16;41.1167051979;1.2590990961
25195;Tortosa;Tortosa, 9;41.1164816667;1.2194483333
25163;Rambla Nova;Rambla Nova, 91;41.1164733333;1.251125
25049;El Pilar;Riu Montsant 10, Bloc Cinca;41.1164183333;1.2132333333
25620;Rambla Vella;Rambla Vella, 25;41.1163859264;1.2551180273
25152;Poligon;Ctra. N-340, Edifici Renault;41.1163083333;1.2286583333
25021;Campclar;Riu Ter, s/n;41.1162534435;1.2015701831
25675;Ramon y Cajal, 40;Ramon y Cajal 40;41.1162153025;1.245984301
25464;Parc;Ramón y Cajal, Parc Central;41.1161703416;1.240105033
25129;Naranjos;Riu Monstant, front 4;41.1161466667;1.2145883333
25531;Carrer Vint, 10;Carrer Vint, 10;41.1159394743;1.1937394068
25047;Balcó;Via Augusta, 1-3;41.1157533333;1.2588983333
25159;Prat de la Riba, 11;Prat de la Riba, 11;41.1156474904;1.2469715439
25189;Tanatori;Polígon Francolí parc. 12A;41.1152566667;1.232785
25066;Fortí;Passeig Marítim Rafael de Casanova, 21;41.1151116667;1.26726
25116;Miracle Platja;Passeig Marítim Rafael de Casanova;41.1146866667;1.2622116667
25027;Casanova;Passeig Maritim Rafael de Casanova, 27;41.1142433333;1.2703466667
25012;Bombers;Autovia de Salou;41.1139283333;1.2176983333
25046;Eix Transversal;Polígon Francolí, parcela 4;41.1138183333;1.2242583333
25153;Polígon Francolí;Polígon Francolí, parc. 10;41.1137733333;1.2293516667
25161;Prim;Plaça Prim, 1;41.1134067006;1.2508837022
25105;Pere Martell, 51;Pere Martell, 51;41.1130122641;1.2431842089
25009;Bastos;Torres Jordi, 14;41.1122217422;1.2411427572
25194;Torres Jordi;Passeig de l'Independéncia, passatge Xavier;41.1118736518;1.2385773808
25167;Reial;Reial, 27;41.1115356639;1.2450500652
25560;Estació;Cr Comerç, 7-9;41.1113592806;1.2521899492
25599;Pl. Carros;Reial, 9;41.1106697199;1.2499192358
25157;Port Esportiu;Passeig Marítim Rafael de Casanova, Port Esportiu;41.1104416667;1.2527366667
25680;El Serrallo;Trafalgar, 58;41.1102135033;1.2433875203
25880;Marina Tarraco;Moll d'Aragó;41.1087695543;1.2495138869
25035;Complex Educatiu;Complex Educatiu, Laboral;41.1022183333;1.202325
25719;Mas Pastor;Cami Mas del Frare, 1;41.159329263;1.2697288692
25689;Rodolat del Moro;Travessia Comella Moro, 9;41.150067446;1.2689660559
25718;Rodolat del Moro-2;Travessia Comella Moro-9;41.150067446;1.2689660559
25651;Veneçuela;Bloc Veneçuela;41.139457244;1.2491981685
25578;Miramar;Av. Països Catalans, bloc La Mussara;41.136525275;1.2489911914
25563;Joan Serra;Av. Països Catalans, front 8;41.129662165;1.2428967543
25031;Centre Comercial;Vial de servei Les Gavarres / Centre Comercial;41.127089892;1.2053452469
