codi;nom;adreca;latitud;longitud
25581;Muntanyeta de l'Oliva;Ctra. Santes Creus, Cruïlla muntanyeta de St. Pere;41.13039;1.253443333
25087;La Mora;Av. Mediterrani, front Pl. Comarques Catalanes;41.13009;1.34547
25127;Muntanyeta de l'Oliva;Ctra. Santes Creus, 7;41.12983;1.2539016667
25502;Conca de Barbera;Conca de Barberà, 49-67;41.12952;1.349121667
25716;Ctra. Tennis, 12;Ctra. Tennis, 12;41.12683;1.291895
25522;Buenos Aires;Carrer vint-i-tres;41.12376;1.190926667
25610;Polisportiu;Riu Siurana, bloc 4;41.12261;1.208048333
25122;Montoliu;Av. Marques de Montoliu, 16;41.12242;1.2480033333
25001;Escola els Àngels;Carrer Riu Segre, 10, 43006 Tarragona;41.12198;1.211296667
25162;Campus Catalunya;Av. Catalunya, front 34;41.12197;1.250175
25649;Tuset;Via Augusta, acces Vall de l'Arrabassada;41.12043;1.27242
25604;Pl. Imperial Tàrraco;Pl. Imperial Tàrraco, final Marques de Montoliu;41.11944;1.2457
25603;Pl. Imperial Tàrraco;Prat de la Riba, 37;41.11802;1.245886
25131;Nou Vial;Riu Llobregat, 17;41.11708;1.20077
25171;St. Francesc;Rambla Vella, 20;41.11686;1.254107
25024;Carrer Dos;Carrer dos, 14-16;41.11642;1.19258
25558;Icomar;Ctra. N-340, camp de fíºtbol Icomar;41.11576;1.225138333
25559;Icomar;Ctra. N-340 front barri Icomar;41.11569;1.225588333
25877;Ctra. Valencia, 214;Ctra. Valencia, 214;41.11533;1.20989
25538;Eix Transversal;Polígon Francolí, parcela 20;41.11362;1.223823333
25579;Moll de Costa;Passeig del Gremi de Marejants;41.10959;1.246868333
25626;Sant Antoni;St. Antoni, front portal de St. Antoni;41.1188;1.261401667
25461;Passeig de les Palmeres;Rambla Vella, amb Passeig de les Palmeres;41.1156;1.257505
25550;Estació;Pl. de la Pedrera;41.1115;1.252892
25118;Moll de Costa;Passeig del Gremi de Marejants;41.1098;1.2459483333
