"NOMZONA","EDAD","SEXE","NACIONALITAT","NUMERO","CODI_ENS","NOM_ENS"
"MONNARS","9","H","ESPANYA","14","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","9","D","ESPANYA","31","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","46","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","72","D","ESPANYA","7","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","10","H","ESTRANGER","4","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","12","D","ESTRANGER","15","4314820002","AJUNTAMENT DE TARRAGONA"
"OLIVA (L`)","12","D","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","8","H","ESPANYA","98","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","8","H","ESPANYA","34","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","43","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","76","H","ESTRANGER","15","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","28","D","ESTRANGER","7","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","65","H","ESPANYA","7","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","52","D","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","74","D","ESPANYA","31","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","55","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","40","H","ESTRANGER","7","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","7","D","ESPANYA","24","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","7","D","ESPANYA","91","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","7","H","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","7","D","ESTRANGER","29","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","9","H","ESTRANGER","17","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","77","H","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","9","H","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","78","H","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","6","D","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","6","H","ESPANYA","10","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","6","D","ESTRANGER","12","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","35","H","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","26","D","ESPANYA","10","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","7","D","ESPANYA","9","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","37","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","5","D","ESPANYA","13","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","89","D","ESPANYA","17","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","5","H","ESPANYA","37","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","6","H","ESTRANGER","15","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","55","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","89","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","5","D","ESPANYA","17","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","26","D","ESTRANGER","13","4314820002","AJUNTAMENT DE TARRAGONA"
"OLIVA (L`)","53","H","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","87","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","33","H","ESTRANGER","8","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","35","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","76","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","75","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","42","H","ESTRANGER","5","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","36","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","67","H","ESTRANGER","4","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","3","D","ESPANYA","48","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","4","H","ESTRANGER","37","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","4","D","ESPANYA","23","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","33","D","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","41","D","ESTRANGER","11","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","3","H","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","3","D","ESPANYA","9","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","56","H","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","6","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","56","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","32","D","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","88","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","4","H","ESTRANGER","29","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","94","D","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","28","H","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","37","H","ESPANYA","9","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","83","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","18","H","ESTRANGER","98","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","45","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","15","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","26","H","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","80","H","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","75","H","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","30","D","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","91","D","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","29","D","ESPANYA","11","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","70","D","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","90","H","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","67","D","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","95","H","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","85","D","ESPANYA","13","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","25","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","25","H","ESPANYA","7","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","75","D","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","33","H","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","79","H","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","65","D","ESPANYA","10","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","95","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","89","H","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","90","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","81","D","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","77","D","ESPANYA","10","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","53","H","ESTRANGER","8","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","83","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","98","D","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","97","D","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"OLIVA (L`)","68","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","55","H","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","96","D","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","63","D","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","100","D","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","89","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","49","D","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","81","H","ESPANYA","10","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","97","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","98","D","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","83","D","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","86","H","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","93","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","92","D","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","34","H","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","66","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","90","H","ESPANYA","7","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","73","D","ESPANYA","19","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","59","D","ESTRANGER","4","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","42","H","ESTRANGER","4","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","54","H","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","88","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","2","D","ESPANYA","181","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","67","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","36","H","ESTRANGER","9","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","2","H","ESPANYA","41","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","33","H","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","19","D","ESTRANGER","23","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","3","H","ESTRANGER","9","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","7","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","56","H","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","20","D","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","2","D","ESTRANGER","62","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","70","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","2","D","ESPANYA","7","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","19","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","75","D","ESTRANGER","5","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","31","H","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","17","H","ESTRANGER","18","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","92","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","12","H","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","40","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","2","D","ESTRANGER","12","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","2","H","ESTRANGER","31","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","10","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","10","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","87","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","68","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","27","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","1","H","ESPANYA","185","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","9","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","48","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","4","D","ESTRANGER","5","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","1","H","ESTRANGER","11","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","1","H","ESPANYA","28","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","68","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","39","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","41","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","19","D","ESTRANGER","4","4314820002","AJUNTAMENT DE TARRAGONA"
"PINEDES (LES)","55","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","1","H","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","19","H","ESPANYA","9","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","1","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","2","D","ESTRANGER","4","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","21","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","14","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","22","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","22","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","50","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","45","H","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","31","H","ESTRANGER","4","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","9","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","17","H","ESPANYA","7","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","1","H","ESTRANGER","4","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","1","H","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","50","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","94","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","0","D","ESTRANGER","15","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","86","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","18","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","29","H","ESTRANGER","5","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","2","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"PINEDES (LES)","13","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","79","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","74","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","0","D","ESPANYA","9","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","45","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","62","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","95","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","86","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","72","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","37","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","1","D","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","34","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"PINEDES (LES)","24","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","15","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","23","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","77","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","93","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","38","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","64","H","ESPANYA","18","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","49","D","ESPANYA","135","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","75","H","ESPANYA","67","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","80","D","ESPANYA","59","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","54","H","ESPANYA","358","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","58","D","ESTRANGER","79","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","47","D","ESPANYA","428","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","60","H","ESPANYA","44","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","43","H","ESTRANGER","169","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","73","H","ESTRANGER","28","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","54","H","ESPANYA","45","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","55","D","ESPANYA","450","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","55","D","ESTRANGER","44","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","47","D","ESPANYA","129","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","55","H","ESPANYA","132","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","65","D","ESTRANGER","54","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","52","H","ESPANYA","421","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","44","D","ESPANYA","374","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","46","D","ESPANYA","19","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","61","H","ESPANYA","83","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","87","D","ESPANYA","202","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","55","H","ESPANYA","23","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","24","H","ESPANYA","88","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","46","D","ESPANYA","20","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","69","H","ESPANYA","309","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","59","D","ESPANYA","125","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","90","D","ESPANYA","24","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","58","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","67","H","ESPANYA","44","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","89","D","ESPANYA","195","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","24","H","ESPANYA","15","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","75","D","ESPANYA","99","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","35","H","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","51","D","ESPANYA","134","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","91","H","ESPANYA","65","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","57","D","ESPANYA","12","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","89","H","ESPANYA","7","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","81","D","ESPANYA","15","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","50","H","ESPANYA","52","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","41","D","ESPANYA","311","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","48","H","ESPANYA","137","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","98","D","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","74","D","ESPANYA","350","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","88","D","ESPANYA","34","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","58","H","ESPANYA","131","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","32","H","ESPANYA","294","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","53","H","ESPANYA","44","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","96","D","ESPANYA","58","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","41","D","ESPANYA","34","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","68","D","ESPANYA","8","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","40","D","ESPANYA","31","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","73","D","ESPANYA","85","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","56","H","ESPANYA","32","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","58","D","ESPANYA","27","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","26","D","ESPANYA","296","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","24","H","ESPANYA","29","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","24","H","ESPANYA","16","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","24","D","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","24","D","ESPANYA","19","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","24","D","ESPANYA","8","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","38","D","ESPANYA","69","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","24","D","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","31","H","ESPANYA","296","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","94","D","ESPANYA","84","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","79","D","ESPANYA","87","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","69","D","ESPANYA","127","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","40","H","ESPANYA","41","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","56","D","ESPANYA","54","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","63","D","ESPANYA","23","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","59","H","ESPANYA","128","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","23","H","ESPANYA","84","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","34","H","ESPANYA","241","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","64","D","ESPANYA","127","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","91","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","23","H","ESPANYA","11","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","23","H","ESPANYA","34","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","59","H","ESPANYA","8","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","53","D","ESPANYA","58","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","39","H","ESPANYA","79","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","32","D","ESPANYA","68","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","63","H","ESPANYA","10","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","51","D","ESPANYA","13","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","73","H","ESPANYA","83","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","48","D","ESPANYA","133","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","54","D","ESPANYA","36","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","75","D","ESPANYA","60","4314820002","AJUNTAMENT DE TARRAGONA"
