"CODI","NOM","ADRECA","LATITUD","LONGITUD","CODI_ENS","NOM_ENS"
"25054,0","Enric d'Ossó","Enric d'Ossó front Institut","41.1191133333","1.2419433333","4314820002","AJUNTAMENT DE TARRAGONA"
"25190,0","Tarradellas","Riu Besós Edif. Telefónica","41.1191016667","1.20926","4314820002","AJUNTAMENT DE TARRAGONA"
"25200,0","Via Augusta","Via Augusta, 83","41.1188833333","1.2687533333","4314820002","AJUNTAMENT DE TARRAGONA"
"25169,0","Rovira i Virgili","Rovira i Virgili, 12","41.1187253074","1.2504409393","4314820002","AJUNTAMENT DE TARRAGONA"
"25158,0","Portal del Roser","Via del Imperi Romà,","41.1187083333","1.25469","4314820002","AJUNTAMENT DE TARRAGONA"
"25535,0","Col·legi","Riu Clar, Bloc 16 direcció Tgna","41.1186936632","1.2250714749","4314820002","AJUNTAMENT DE TARRAGONA"
"25602,0","Pl. Imperial Tàrraco","Pl. Imperial Tàrraco, 2 . Catalunya Caixa","41.1186445364","1.245482862","4314820002","AJUNTAMENT DE TARRAGONA"
"25574,0","Marenostrum","Passeig Marítim Rafael de Casanova","41.1182415436","1.2730747461","4314820002","AJUNTAMENT DE TARRAGONA"
"25143,0","Pere Martell","Pere Martell, 1","41.1182092132","1.2449625135","4314820002","AJUNTAMENT DE TARRAGONA"
"25025,0","Carrer Vint","Explanada Mercat / Llar de Jubilats","41.1177516667","1.19452","4314820002","AJUNTAMENT DE TARRAGONA"
"25029,0","Centenari",,"41.1177348629","1.2496715114","4314820002","AJUNTAMENT DE TARRAGONA"
"25076,0","Imperi Romà","Via de l'Imperi Romà","41.1175878591","1.2532053217","4314820002","AJUNTAMENT DE TARRAGONA"
"25597,0","Pere Martell","Pere Martell, 7-5","41.1173645743","1.2446390167","4314820002","AJUNTAMENT DE TARRAGONA"
"25121,0","Montblanc","Montblanc, 18-20","41.1171666667","1.2183966667","4314820002","AJUNTAMENT DE TARRAGONA"
"25570,0","Llobregat","Riu Llobregat, parroquia Sta. TEcla","41.1170770057","1.206574738","4314820002","AJUNTAMENT DE TARRAGONA"
"25016,0","Brugent","Riu Llobregat, ","41.1170732169","1.2051714957","4314820002","AJUNTAMENT DE TARRAGONA"
"25205,0","Prat de la Riba","Prat de la Riba, 29","41.1170104492","1.2463349104","4314820002","AJUNTAMENT DE TARRAGONA"
"25123,0","Montsant","Riu Montsant, 3-5","41.1169933333","1.21108","4314820002","AJUNTAMENT DE TARRAGONA"
"25075,0","Icomar","Front Bloc C-1","41.1169216667","1.22545","4314820002","AJUNTAMENT DE TARRAGONA"
"25457,0","Dues Hortes","Marina, 98","41.1168498041","1.1816310883","4314820002","AJUNTAMENT DE TARRAGONA"
"25596,0","Pere Martell","Pere Martell, 9-11","41.1167689131","1.2444061786","4314820002","AJUNTAMENT DE TARRAGONA"
"25165,0","Ramon y Cajal","Ramon y Cajal, 21","41.1167487692","1.2478310019","4314820002","AJUNTAMENT DE TARRAGONA"
"25623,0","Ramon y Cajal","Ramon y Cajal, 5","41.1167225001","1.2477597669","4314820002","AJUNTAMENT DE TARRAGONA"
"25622,0","Ramon y Cajal","Ramon y Cajal, 19","41.1167093713","1.2476116698","4314820002","AJUNTAMENT DE TARRAGONA"
"25598,0","Pilats","Passeig de St. Antoni, front 16","41.1167051979","1.2590990961","4314820002","AJUNTAMENT DE TARRAGONA"
"25195,0","Tortosa","Tortosa, 9","41.1164816667","1.2194483333","4314820002","AJUNTAMENT DE TARRAGONA"
"25163,0","Rambla Nova","Rambla Nova, 91","41.1164733333","1.251125","4314820002","AJUNTAMENT DE TARRAGONA"
"25049,0","El Pilar","Riu Montsant 10, Bloc Cinca","41.1164183333","1.2132333333","4314820002","AJUNTAMENT DE TARRAGONA"
"25620,0","Rambla Vella","Rambla Vella, 25","41.1163859264","1.2551180273","4314820002","AJUNTAMENT DE TARRAGONA"
"25662,0","La Trobada",,"41.1163146964","1.2286553532","4314820002","AJUNTAMENT DE TARRAGONA"
"25152,0","Poligon","Ctra. N-340, Edifici Renault","41.1163083333","1.2286583333","4314820002","AJUNTAMENT DE TARRAGONA"
"25021,0","Campclar","Riu Ter, s/n","41.1162534435","1.2015701831","4314820002","AJUNTAMENT DE TARRAGONA"
