ANY,MES,"MOTIU",NUMERO,"CODI_ENS","NOM_ENS"
2020,11,"EMIGRACIO",609,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,11,"DEFUNCIO",124,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,12,"INSCRIPCIO INDEGUDA",553,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,12,"EMIGRACIO",392,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,12,"DEFUNCIO",89,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,1,"INSCRIPCIO INDEGUDA",6,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,1,"EMIGRACIO",521,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,1,"DEFUNCIO",97,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,2,"INSCRIPCIO INDEGUDA",11,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,2,"EMIGRACIO",422,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,2,"DEFUNCIO",90,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,3,"INSCRIPCIO INDEGUDA",6,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,3,"EMIGRACIO",488,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,3,"DEFUNCIO",101,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,4,"INSCRIPCIO INDEGUDA",6,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,4,"EMIGRACIO",426,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,4,"DEFUNCIO",88,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,5,"INSCRIPCIO INDEGUDA",108,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,5,"EMIGRACIO",501,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,5,"DEFUNCIO",87,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,6,"INSCRIPCIO INDEGUDA",309,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,6,"EMIGRACIO",451,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,6,"DEFUNCIO",69,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,7,"INSCRIPCIO INDEGUDA",707,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,7,"EMIGRACIO",504,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,7,"DEFUNCIO",92,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,8,"INSCRIPCIO INDEGUDA",5,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,8,"EMIGRACIO",350,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,8,"DEFUNCIO",83,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,9,"INSCRIPCIO INDEGUDA",3,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,9,"EMIGRACIO",637,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,9,"DEFUNCIO",91,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,10,"INSCRIPCIO INDEGUDA",11,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,10,"EMIGRACIO",558,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,10,"DEFUNCIO",80,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,11,"INSCRIPCIO INDEGUDA",10,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,11,"EMIGRACIO",456,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,11,"DEFUNCIO",89,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,12,"INSCRIPCIO INDEGUDA",9,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,12,"EMIGRACIO",409,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,12,"DEFUNCIO",99,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,1,"INSCRIPCIO INDEGUDA",3,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,1,"EMIGRACIO",490,"4314820002","AJUNTAMENT DE TARRAGONA"
