ANY,MES,"MOTIU",NUMERO,"CODI_ENS","NOM_ENS"
2020,11,"NEIXEMENT",96,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,11,"CANVI RESIDENCIA",631,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,12,"OMISIO",24,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,12,"NEIXEMENT",75,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,12,"CANVI RESIDENCIA",498,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,1,"OMISIO",25,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,1,"NEIXEMENT",97,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,1,"CANVI RESIDENCIA",801,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,2,"OMISIO",22,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,2,"NEIXEMENT",86,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,2,"CANVI RESIDENCIA",746,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,3,"OMISIO",23,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,3,"NEIXEMENT",79,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,3,"CANVI RESIDENCIA",904,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,4,"OMISIO",25,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,4,"NEIXEMENT",74,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,4,"CANVI RESIDENCIA",726,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,5,"OMISIO",23,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,5,"NEIXEMENT",101,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,5,"CANVI RESIDENCIA",812,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,6,"OMISIO",21,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,6,"NEIXEMENT",89,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,6,"CANVI RESIDENCIA",769,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,7,"OMISIO",12,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,7,"NEIXEMENT",111,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,7,"CANVI RESIDENCIA",746,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,8,"OMISIO",9,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,8,"NEIXEMENT",98,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,8,"CANVI RESIDENCIA",654,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,9,"OMISIO",10,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,9,"NEIXEMENT",94,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,9,"CANVI RESIDENCIA",984,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,10,"OMISIO",24,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,10,"NEIXEMENT",117,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,10,"CANVI RESIDENCIA",985,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,11,"OMISIO",10,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,11,"NEIXEMENT",84,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,11,"CANVI RESIDENCIA",721,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,12,"OMISIO",15,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,12,"NEIXEMENT",104,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,12,"CANVI RESIDENCIA",688,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,1,"OMISIO",47,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,1,"NEIXEMENT",92,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,1,"CANVI RESIDENCIA",625,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,2,"OMISIO",12,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,2,"NEIXEMENT",78,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,2,"CANVI RESIDENCIA",607,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,3,"OMISIO",22,"4314820002","AJUNTAMENT DE TARRAGONA"
